type,indicator,source,severity
ip,185.220.101.45,ThreatFox,high
ip,91.108.4.1,AbuseIPDB,medium
domain,malware-c2.ru,OpenPhish,high
domain,evil-phishing.com,PhishTank,high
url,http://malware-c2.ru/payload.exe,ThreatFox,high
url,https://evil-phishing.com/steal.php,PhishTank,high
hash,d41d8cd98f00b204e9800998ecf8427e,MalwareBazaar,medium
hash,5d41402abc4b2a76b9719d911017c592,MalwareBazaar,high
email,phisher@evil-phishing.com,SpamHaus,medium
ip,203.0.113.10,ThreatFox,low
domain,suspicious-domain.net,OSINT,low
ip,45.142.212.100,AbuseIPDB,high
